chave, contagem
0, 10000
1, 0
2, 0
3, 5822
4, 2634
5, 0
6, 3088
7, 3188
8, 1040
9, 4228
10, 0
11, 1088
12, 8912
13, 0
14, 0
15, 6376
16, 2080
17, 0
18, 5412
19, 720
20, 3509
21, 1903
22, 0
23, 2177
24, 2051
25, 5772
26, 0
27, 272
28, 8184
29, 0
30, 0
31, 7384
32, 4160
33, 0
34, 0
35, 4055
36, 173
37, 7315
38, 0
39, 1441
40, 7016
41, 0
42, 0
43, 9307
44, 693
45, 0
46, 4228
47, 126
48, 4103
49, 0
50, 3087
51, 2911
52, 1317
53, 4228
54, 0
55, 544
56, 9456
57, 0
58, 0
59, 5751
60, 2705
61, 0
62, 3088
63, 136
64, 4092
65, 4228
66, 0
67, 2028
68, 7972
69, 0
70, 0
71, 8110
72, 346
73, 0
74, 0
75, 8771
76, 2773
77, 0
78, 0
79, 2878
80, 1350
81, 5772
82, 0
83, 1014
84, 7442
85, 0
86, 0
87, 10158
88, 1386
89, 0
90, 0
91, 506
92, 3722
93, 7315
94, 0
95, 253
96, 8204
