chave, contagem
0, 7227
1, 1323
2, 439
3, 4843
4, 1269
5, 492
6, 6957
7, 1528
8, 511
9, 4583
10, 1527
11, 438
12, 7010
13, 441
14, 1529
15, 4583
16, 510
17, 1525
18, 6956
19, 494
20, 1271
21, 4840
22, 442
23, 1319
24, 441
25, 7229
26, 1320
27, 443
28, 4842
29, 1270
30, 492
31, 6958
32, 1528
33, 511
34, 4579
35, 1527
36, 438
37, 7013
38, 440
39, 1531
40, 4579
41, 510
42, 1525
43, 6958
44, 489
45, 1277
46, 4838
47, 443
48, 1320
49, 442
50, 7228
51, 1320
52, 445
53, 4835
54, 1276
55, 490
56, 6959
57, 1527
58, 511
59, 4577
60, 1530
61, 440
62, 7009
63, 440
64, 1530
65, 4582
66, 510
67, 1528
68, 6954
69, 490
70, 1274
71, 4840
72, 441
73, 1322
74, 443
75, 7229
76, 1321
77, 440
78, 4838
79, 1274
80, 492
81, 6954
82, 1528
83, 514
84, 4578
85, 1531
86, 440
87, 7007
88, 441
89, 1527
90, 4585
91, 506
92, 1532
93, 6952
94, 495
95, 1272
96, 4841
